hrt_value,t_value
71286.0,1116.556892
71311.0,1116.597026
71318.0,1116.637165
71320.0,1116.677292
71347.0,1116.717412
71376.0,1116.75754
71422.0,1116.7977
71474.0,1116.837816
71543.0,1116.87795
71591.0,1116.918098
71643.0,1116.958249
71677.0,1116.998396
71712.0,1117.038527
71748.0,1117.078669
71784.0,1117.118798
71827.0,1117.15894
71876.0,1117.199086
71918.0,1117.239211
71871.0,1117.279343
71756.0,1117.319856
71639.0,1117.359988
71565.0,1117.40014
71560.0,1117.44027
71568.0,1117.480413
71586.0,1117.520541
71618.0,1117.560695
71631.0,1117.600659
71615.0,1117.640809
71609.0,1117.680951
71614.0,1117.721092
71645.0,1117.76123
71677.0,1117.801354
71717.0,1117.841509
71748.0,1117.881637
71786.0,1117.92178
71805.0,1117.962261
71822.0,1118.002397
71850.0,1118.042519
71875.0,1118.082669
71916.0,1118.122791
71949.0,1118.1629
71991.0,1118.20303
72016.0,1118.243168
71969.0,1118.283311
71846.0,1118.323458
71729.0,1118.3638
